DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_NATIVITAS 2022,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],NO2 Horario [ppm]
JUN,8,9,0.042,0.034,0.009,1.34,42.5,0.011
JUN,8,10,0.046,0.035,0.009,1.31,30.3,0.010
JUN,8,11,0.052,0.036,0.009,1.31,15.2,0.008
JUN,8,12,NA,0.036,0.009,1.32,15.2,NA
JUN,8,13,0.066,0.040,0.010,1.34,10.8,0.010
JUN,8,14,0.066,0.046,0.010,1.33,13.7,0.007
JUN,8,15,0.069,0.053,0.010,1.29,17.9,0.006
JUN,8,16,0.074,0.059,0.010,1.25,19.6,0.006
JUN,8,17,0.075,0.064,0.010,1.24,22.4,0.007
JUN,8,18,0.078,0.068,0.009,1.23,26.5,0.006
JUN,8,19,0.061,0.070,0.009,1.24,32.1,0.010
JUN,8,20,0.046,0.067,0.008,1.24,41.9,0.009
JUN,8,21,0.046,0.064,0.007,1.24,43.0,0.007
JUN,8,22,0.041,0.061,0.006,1.24,45.7,0.008
JUN,8,23,0.035,0.057,0.006,1.24,49.1,0.011
JUN,9,0,0.038,0.052,0.006,1.25,49.9,0.007
JUN,9,1,0.037,0.048,0.006,1.25,45.3,0.007
JUN,9,2,0.037,0.043,0.006,1.25,40.9,0.006
JUN,9,3,0.033,0.039,0.005,1.24,37.2,0.009
JUN,9,4,0.031,0.037,0.005,1.23,39.4,0.008
JUN,9,5,0.030,0.035,0.005,1.22,39.5,0.007
JUN,9,6,0.023,0.033,0.005,1.24,39.8,0.011
JUN,9,7,0.019,0.031,0.005,1.25,38.4,0.013
JUN,9,8,0.017,0.028,0.005,1.27,35.3,0.014
JUN,9,9,0.022,0.026,0.004,1.28,33.8,0.012
JUN,9,10,0.033,0.026,0.004,1.29,45.3,0.008
JUN,9,11,0.038,0.027,0.004,1.29,45.2,0.006
JUN,9,12,0.045,0.028,0.004,1.30,47.4,0.006
JUN,9,13,0.042,0.030,0.004,1.29,39.4,0.006
JUN,9,14,0.045,0.033,0.004,1.28,35.3,0.007
JUN,9,15,0.046,0.036,0.004,1.26,31.5,0.008
JUN,9,16,0.040,0.039,0.004,1.27,33.8,0.010
JUN,9,17,0.031,0.040,0.004,1.26,47.6,0.007
JUN,9,18,0.030,0.040,0.004,1.26,35.7,0.006
JUN,9,19,0.022,0.038,0.003,1.28,25.0,0.009
JUN,9,20,0.020,0.034,0.003,1.29,25.0,0.014
JUN,9,21,0.020,0.032,0.003,1.32,37.3,0.012
JUN,9,22,0.016,0.028,0.003,1.35,30.5,0.014
JUN,9,23,0.021,0.025,0.003,1.36,23.9,0.010
JUN,10,0,0.015,0.022,0.003,1.33,19.0,0.013
JUN,10,1,0.012,0.019,0.003,1.33,19.5,0.014
JUN,10,2,0.011,0.017,0.003,1.34,18.9,0.015
JUN,10,3,0.009,0.015,0.003,1.32,20.6,0.017
JUN,10,4,0.010,0.014,0.003,1.29,18.8,0.017
JUN,10,5,0.012,0.013,0.003,1.26,22.6,0.013
JUN,10,6,0.011,0.013,0.003,1.24,22.1,0.016
JUN,10,7,0.009,0.011,0.003,1.27,29.6,0.017
JUN,10,8,0.014,0.011,0.003,1.29,40.4,0.013
JUN,10,9,0.021,0.012,0.003,1.29,43.0,0.010
JUN,10,10,0.025,0.014,0.003,1.29,33.6,0.010
JUN,10,11,0.033,0.017,0.003,1.30,31.5,0.008
JUN,10,12,0.043,0.021,0.003,1.31,28.5,0.007
JUN,10,13,0.051,0.026,0.003,1.31,28.5,0.006
JUN,10,14,0.053,0.031,0.003,1.30,NA,0.006
JUN,10,15,0.058,0.037,0.003,1.26,NA,0.006
JUN,10,16,0.062,0.043,0.003,1.24,NA,0.007
JUN,10,17,0.061,0.048,0.003,1.23,NA,0.011
JUN,10,18,0.067,0.053,0.003,1.25,15.7,0.010
JUN,10,19,0.058,0.056,0.003,1.27,27.7,0.014
JUN,10,20,0.048,0.057,0.003,1.31,34.8,0.021
JUN,10,21,0.033,0.055,0.003,1.33,37.1,0.014
JUN,10,22,0.031,0.052,0.003,1.34,32.3,0.012
JUN,10,23,0.027,0.048,0.003,1.36,31.8,0.011
JUN,11,0,0.021,0.043,0.003,1.37,27.0,0.012
JUN,11,1,0.020,0.038,0.003,1.36,27.3,0.012
JUN,11,2,0.018,0.032,0.003,1.35,21.6,0.013
JUN,11,3,0.016,0.027,0.003,1.32,24.0,0.013
JUN,11,4,0.019,0.023,0.003,1.27,25.0,0.011
JUN,11,5,NA,0.022,0.003,1.25,23.7,0.015
JUN,11,6,NA,0.020,0.003,1.25,23.7,0.018
JUN,11,7,0.004,0.016,0.003,1.26,26.8,0.021
JUN,11,8,0.015,0.015,0.003,1.28,30.2,0.014
JUN,11,9,0.024,0.016,0.003,1.29,30.1,0.010
JUN,11,10,0.037,0.019,0.003,1.29,29.8,0.007
JUN,11,11,0.044,0.024,0.003,1.29,25.1,0.006
JUN,11,12,0.050,0.029,0.003,1.29,24.3,0.007
JUN,11,13,0.055,0.033,0.003,1.30,26.0,0.009
JUN,11,14,0.058,0.036,0.003,1.29,24.4,0.006
JUN,11,15,0.063,0.043,0.003,1.26,19.8,0.006
JUN,11,16,0.070,0.050,0.003,1.25,19.4,0.007
JUN,11,17,0.072,0.056,0.003,1.24,22.0,0.007
JUN,11,18,0.059,0.059,0.003,1.25,24.1,0.012
JUN,11,19,0.045,0.059,0.003,1.25,33.4,0.009
JUN,11,20,0.042,0.058,0.003,1.25,30.9,0.008
JUN,11,21,0.037,0.056,0.003,1.25,26.1,0.011
JUN,11,22,0.026,0.052,0.003,1.25,38.4,0.020
JUN,11,23,0.029,0.047,0.003,1.26,43.0,0.011
JUN,12,0,0.031,0.043,0.003,1.25,45.4,0.009
JUN,12,1,0.026,0.037,0.003,1.25,38.9,0.010
JUN,12,2,0.028,0.033,0.003,1.23,31.7,0.008
JUN,12,3,0.024,0.030,0.004,1.23,34.4,0.010
JUN,12,4,0.030,0.029,0.004,1.23,36.4,0.007
JUN,12,5,NA,0.028,0.004,1.22,34.7,0.009
JUN,12,6,0.014,0.026,0.004,1.22,36.0,0.012
JUN,12,7,0.012,0.024,0.004,1.23,42.1,0.015
JUN,12,8,0.019,0.022,0.004,1.23,42.0,0.011
JUN,12,9,0.030,0.022,0.004,1.25,38.4,0.008
JUN,12,10,0.039,0.024,0.004,1.25,30.3,0.007
JUN,12,11,0.045,0.027,0.004,1.26,27.0,0.006
JUN,12,12,0.052,0.030,0.004,1.27,27.7,0.006
JUN,12,13,0.058,0.033,0.004,1.26,19.6,0.005
JUN,12,14,0.063,0.040,0.004,1.26,16.5,0.005
JUN,12,15,0.064,0.046,0.004,1.24,15.1,0.005
JUN,12,16,0.061,0.051,0.004,1.23,14.7,0.006
JUN,12,17,0.061,0.055,0.004,1.22,17.2,0.005
JUN,12,18,0.059,0.058,0.004,1.20,18.5,0.005
JUN,12,19,0.058,0.060,0.004,1.20,22.0,0.007
JUN,12,20,0.058,0.060,0.004,1.21,31.9,0.010
JUN,12,21,0.039,0.058,0.004,1.22,28.3,0.011
JUN,12,22,0.034,0.054,0.004,1.22,29.7,0.006
JUN,12,23,0.037,0.051,0.004,1.22,24.7,0.005
JUN,13,0,0.033,0.047,0.004,1.23,26.5,0.006
JUN,13,1,0.032,0.044,0.003,1.23,25.6,0.006
JUN,13,2,0.030,0.040,0.003,1.23,23.7,0.006
JUN,13,3,0.031,0.037,0.003,1.22,21.9,0.006
JUN,13,4,0.034,0.034,0.003,1.21,17.9,0.006
JUN,13,5,0.029,0.032,0.003,1.20,17.8,0.009
JUN,13,6,0.025,0.031,0.003,1.21,17.4,0.011
JUN,13,7,0.021,0.029,0.003,1.24,18.9,0.015
JUN,13,8,0.022,0.028,0.003,1.26,19.6,0.014
JUN,13,9,0.031,0.028,0.003,1.27,17.9,0.010
JUN,13,10,0.035,0.028,0.003,1.29,20.9,0.015
JUN,13,11,0.051,0.031,0.003,1.31,32.4,0.009
JUN,13,12,0.060,0.034,0.003,1.32,32.9,0.007
JUN,13,13,0.058,0.038,0.003,1.32,27.0,0.005
JUN,13,14,0.069,0.043,0.003,1.31,20.9,0.006
JUN,13,15,0.073,0.050,0.003,1.29,20.9,0.006
JUN,13,16,0.077,0.057,0.003,1.26,21.1,0.006
JUN,13,17,0.062,0.061,0.003,1.27,36.8,0.012
JUN,13,18,0.054,0.063,0.003,1.27,49.0,0.011
JUN,13,19,0.039,0.062,0.003,1.32,49.0,0.019
JUN,13,20,0.038,0.059,0.003,1.36,30.0,0.021
JUN,13,21,0.032,0.056,0.003,1.39,36.4,0.015
JUN,13,22,0.028,0.050,0.003,1.40,40.7,0.010
JUN,13,23,0.030,0.045,0.003,1.40,38.3,0.013
JUN,14,0,0.027,0.039,0.003,1.40,49.6,0.015
JUN,14,1,0.024,0.034,0.003,1.38,52.5,0.014
JUN,14,2,0.020,0.030,0.003,1.35,41.2,0.009
JUN,14,3,0.019,0.027,0.003,1.30,33.4,0.011
JUN,14,4,0.016,0.025,0.003,1.25,27.9,0.011
JUN,14,5,0.011,0.022,0.003,1.22,29.8,0.013
JUN,14,6,0.008,0.019,0.003,1.23,34.7,0.017
JUN,14,7,0.005,0.016,0.003,1.26,39.7,0.022
JUN,14,8,0.011,0.014,0.003,1.29,41.6,0.017
JUN,14,9,0.023,0.014,0.003,1.31,39.6,0.010
JUN,14,10,0.032,0.016,0.003,1.32,40.1,0.007
JUN,14,11,0.041,0.019,0.003,1.32,35.2,0.007
JUN,14,12,0.046,0.022,0.003,1.34,34.4,0.010
JUN,14,13,0.048,0.027,0.003,1.35,35.8,0.009
JUN,14,14,0.045,0.031,0.003,1.34,33.8,0.011
JUN,14,15,0.042,0.036,0.003,1.31,33.3,0.012
JUN,14,16,0.044,0.040,0.003,1.30,35.7,0.011
JUN,14,17,0.045,0.043,0.003,1.28,37.5,0.006
JUN,14,18,0.037,0.044,0.003,1.28,33.0,0.009
JUN,14,19,0.032,0.042,0.003,1.29,27.1,0.012
JUN,14,20,0.028,0.040,0.003,1.32,30.3,0.015
JUN,14,21,0.024,0.037,0.003,1.37,28.9,0.011
JUN,14,22,0.018,0.034,0.003,1.37,24.3,0.010
JUN,14,23,0.016,0.031,0.003,1.38,24.1,0.008
JUN,15,0,0.012,0.027,0.003,1.38,19.4,0.011
JUN,15,1,0.014,0.023,0.003,1.38,19.7,0.009
