DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
NOVIEMBRE,5,17,0.0404,0.0416,0.0071,1.8252,31,14,0.0214
NOVIEMBRE,5,18,0.0317,0.0425,0.007,1.8644,38,12,0.0322
NOVIEMBRE,5,19,0.0114,0.04,0.0071,1.9618,53,9,0.0629
NOVIEMBRE,5,20,0.0072,0.0363,0.0072,2.1192,83,13,0.0669
NOVIEMBRE,5,21,0.0201,0.0333,0.0074,2.1317,89,21,0.0275
NOVIEMBRE,5,22,0.0265,0.0303,0.0072,2.1361,65,13,0.0157
NOVIEMBRE,5,23,0.033,0.0278,0.0071,2.1403,51,10,0.0182
NOVIEMBRE,6,0,0.028,0.0248,0.0071,2.1259,42,8,0.0185
NOVIEMBRE,6,1,0.0095,0.0209,0.0071,2.0958,36,7,0.0363
NOVIEMBRE,6,2,0.0138,0.0187,0.008,2.0356,36,12,0.0217
NOVIEMBRE,6,3,0.0091,0.0184,0.0086,1.9147,32,11,0.0254
NOVIEMBRE,6,4,0.0074,0.0184,0.009,1.7496,33,12,0.0246
NOVIEMBRE,6,5,0.0012,0.0161,0.0093,1.7229,35,12,0.0364
NOVIEMBRE,6,6,0.003,0.0131,0.0106,1.7202,38,17,0.0269
NOVIEMBRE,6,7,0.0031,0.0094,0.0111,1.7502,33,16,0.0267
NOVIEMBRE,6,8,0.0033,0.0063,0.0112,1.8104,39,16,0.0334
NOVIEMBRE,6,9,0.0102,0.0064,0.0124,1.8546,58,27,0.02
NOVIEMBRE,6,10,0.0195,0.0071,0.0127,1.9015,47,22,0.0203
NOVIEMBRE,6,11,0.028,0.0095,0.0132,1.9374,43,25,0.0136
NOVIEMBRE,6,12,0.0368,0.0131,0.0133,1.9605,33,18,0.0115
NOVIEMBRE,6,13,0.0379,0.0177,0.0133,1.9823,25,13,0.0125
NOVIEMBRE,6,14,0.039,0.0222,0.013,1.9902,27,15,0.0093
NOVIEMBRE,6,15,0.0408,0.0269,0.013,1.9682,26,14,0.0075
NOVIEMBRE,6,16,0.0426,0.0319,0.0128,1.9104,24,12,0.0072
NOVIEMBRE,6,17,0.0436,0.036,0.0126,1.875,26,9,0.0115
NOVIEMBRE,6,18,0.0417,0.0388,0.0125,1.8489,30,6,0.0158
NOVIEMBRE,6,19,0.0272,0.0387,0.0125,1.8563,37,6,0.0306
NOVIEMBRE,6,20,0.0227,0.0369,0.0125,1.8516,45,7,0.0271
NOVIEMBRE,6,21,0.0263,0.0355,0.0126,1.8486,47,6,0.0186
NOVIEMBRE,6,22,0.0202,0.0332,0.015,1.8646,47,6,0.0222
NOVIEMBRE,6,23,0.0254,0.0312,0.0183,1.8593,45,7,0.0135
NOVIEMBRE,7,0,0.0251,0.029,0.0183,1.8607,40,7,0.0114
NOVIEMBRE,7,1,0.0271,0.027,0.0184,1.8473,39,7,0.007
NOVIEMBRE,7,2,0.0263,0.025,0.0174,1.8266,29,6,0.0063
NOVIEMBRE,7,3,0.0185,0.024,0.0168,1.7885,28,3,0.0176
NOVIEMBRE,7,4,0.0179,0.0234,0.0178,1.7703,29,3,0.0163
NOVIEMBRE,7,5,0.0165,0.0221,0.0185,1.7441,30,11,0.0136
NOVIEMBRE,7,6,0.0147,0.0214,0.0175,1.7183,21,9,0.0139
NOVIEMBRE,7,7,0.0086,0.0193,0.0171,1.7246,22,11,0.0199
NOVIEMBRE,7,8,0.0068,0.0171,0.017,1.7516,25,12,0.0201
NOVIEMBRE,7,9,0.0166,0.0157,0.0158,1.7855,27,12,0.0137
NOVIEMBRE,7,10,0.0268,0.0158,0.0155,1.8178,26,13,0.0108
NOVIEMBRE,7,11,0.0317,0.0174,0.015,1.8483,22,12,0.0122
NOVIEMBRE,7,12,0.0392,0.0201,0.015,1.8748,18,12,0.0123
NOVIEMBRE,7,13,0.0493,0.0242,0.015,1.9064,17,13,0.0117
NOVIEMBRE,7,14,0.0531,0.029,0.0162,1.9475,17,16,0.0092
NOVIEMBRE,7,15,0.0472,0.0338,0.0167,1.9492,12,15,0.011
NOVIEMBRE,7,16,0.0442,0.0385,0.0167,1.9346,16,10,0.0135
NOVIEMBRE,7,17,0.0479,0.0424,0.0166,1.9173,22,7,0.0138
NOVIEMBRE,7,18,0.0464,0.0449,0.0166,1.9182,33,7,0.0197
NOVIEMBRE,7,19,0.0256,0.0441,0.0165,1.9625,45,10,0.0453
NOVIEMBRE,7,20,0.0326,0.0433,0.0163,1.945,46,11,0.0144
NOVIEMBRE,7,21,0.0268,0.0405,0.0158,2.0941,45,8,0.0202
NOVIEMBRE,7,22,0.0182,0.0361,0.0166,2.0679,51,6,0.0241
NOVIEMBRE,7,23,0.0237,0.0332,0.014,2.0657,47,9,0.0122
NOVIEMBRE,8,0,0.0281,0.0312,0.0139,2.046,38,8,0.0053
NOVIEMBRE,8,1,0.0276,0.0286,0.0139,2.0275,32,6,0.004
NOVIEMBRE,8,2,0.0267,0.0262,0.0139,1.9939,24,5,0.0039
NOVIEMBRE,8,3,0.0254,0.0261,0.0139,1.9153,18,5,0.0042
NOVIEMBRE,8,4,0.0137,0.0238,0.0125,1.9059,19,5,0.0226
NOVIEMBRE,8,5,0.0105,0.0217,0.0127,1.7287,27,7,0.0249
NOVIEMBRE,8,6,0.0093,0.0206,0.0134,1.7203,25,15,0.0209
NOVIEMBRE,8,7,0.0032,0.0181,0.0135,1.7575,24,15,0.0303
NOVIEMBRE,8,8,0.0059,0.0153,0.0135,1.8266,29,14,0.0297
NOVIEMBRE,8,9,0.0133,0.0135,0.0135,1.8843,32,14,0.0205
NOVIEMBRE,8,10,0.0226,0.013,0.0135,1.9281,33,18,0.0135
NOVIEMBRE,8,11,0.0286,0.0134,0.0135,1.9606,27,12,0.0126
NOVIEMBRE,8,12,0.0401,0.0167,0.0134,1.9936,24,12,0.0149
NOVIEMBRE,8,13,0.0611,0.023,0.0142,2.0838,27,14,0.0178
NOVIEMBRE,8,14,0.0593,0.0293,0.0148,2.1113,26,27,0.0081
NOVIEMBRE,8,15,0.061,0.0365,0.0143,2.0899,23,20,0.0073
NOVIEMBRE,8,16,0.0559,0.0427,0.0146,2.0606,24,14,0.0147
NOVIEMBRE,8,17,0.0446,0.0466,0.0151,2.0477,29,10,0.0228
NOVIEMBRE,8,18,0.0374,0.0485,0.0152,2.064,35,8,0.0316
NOVIEMBRE,8,19,0.0148,0.0468,0.0151,2.1725,60,7,0.0696
NOVIEMBRE,8,20,0.011,0.0431,0.0152,2.2876,77,12,0.0657
NOVIEMBRE,8,21,0.0212,0.0381,0.0156,2.2588,70,10,0.0296
NOVIEMBRE,8,22,0.022,0.0335,0.0138,2.2371,63,9,0.0178
NOVIEMBRE,8,23,0.0179,0.0281,0.0132,2.2242,51,8,0.0196
NOVIEMBRE,9,0,0.0218,0.0238,0.0132,2.1946,42,7,0.0112
NOVIEMBRE,9,1,0.0244,0.0213,0.0132,2.1523,34,7,0.0091
NOVIEMBRE,9,2,0.0243,0.0197,0.0132,2.0959,25,6,0.0074
NOVIEMBRE,9,3,0.0194,0.0202,0.0132,1.9586,20,5,0.0132
NOVIEMBRE,9,4,0.0198,0.0213,0.0133,1.8121,19,4,0.0119
NOVIEMBRE,9,5,0.019,0.0211,0.0125,1.7492,17,3,0.0109
NOVIEMBRE,9,6,0.0117,0.0198,0.0115,1.7431,16,2,0.0192
NOVIEMBRE,9,7,0.0121,0.0191,0.0114,1.7573,19,3,0.0165
NOVIEMBRE,9,8,0.0086,0.0174,0.0114,1.8034,22,6,0.0241
NOVIEMBRE,9,9,0.0155,0.0163,0.0113,1.8555,28,9,0.018
NOVIEMBRE,9,10,0.0231,0.0162,0.0113,1.8991,33,12,0.0142
NOVIEMBRE,9,11,0.0288,0.0173,0.0113,1.9363,30,14,0.0152
NOVIEMBRE,9,12,0.0365,0.0194,0.0113,1.9639,24,16,0.0155
NOVIEMBRE,9,13,0.0482,0.0231,0.0105,1.9927,26,15,0.0133
NOVIEMBRE,9,14,0.0604,0.0292,0.0094,2.0552,27,20,0.0154
NOVIEMBRE,9,15,0.0611,0.0353,0.0102,2.0779,26,18,0.0152
NOVIEMBRE,9,16,0.0581,0.0415,0.0106,2.079,28,14,0.0164
NOVIEMBRE,9,17,0.0579,0.0468,0.011,2.0593,30,11,0.0112
NOVIEMBRE,9,18,0.0336,0.0481,0.0113,2.0786,31,9,0.0283
NOVIEMBRE,9,19,0.01,0.0457,0.0115,2.2836,53,8,0.0716
NOVIEMBRE,9,20,0.0072,0.0421,0.0118,2.5306,107,18,0.0672
NOVIEMBRE,9,21,0.0172,0.0382,0.0115,2.5449,111,34,0.0338
NOVIEMBRE,9,22,0.019,0.033,0.0108,2.5338,79,21,0.0309
NOVIEMBRE,9,23,0.0161,0.0274,0.012,2.5081,63,14,0.027
NOVIEMBRE,10,0,0.0203,0.0227,0.0121,2.4648,50,10,0.0174
NOVIEMBRE,10,1,0.0167,0.0175,0.0121,2.441,41,8,0.0215
NOVIEMBRE,10,2,0.0153,0.0152,0.0121,2.3858,34,12,0.0213
NOVIEMBRE,10,3,0.0119,0.0155,0.0122,2.1524,32,13,0.0284
NOVIEMBRE,10,4,0.0144,0.0163,0.0125,1.885,29,14,0.0217
NOVIEMBRE,10,5,0.0095,0.0154,0.0124,1.8533,31,15,0.0303
NOVIEMBRE,10,6,0.0056,0.0137,0.0126,1.8132,36,15,0.0387
NOVIEMBRE,10,7,0.002,0.0119,0.0128,1.8437,41,21,0.0398
NOVIEMBRE,10,8,0.0028,0.0098,0.0129,1.9299,58,25,0.0332
NOVIEMBRE,10,9,0.0069,0.0085,0.013,2.013,63,26,0.0317
NOVIEMBRE,10,10,0.0149,0.0085,0.0132,2.0655,66,27,0.0295
NOVIEMBRE,10,11,0.0288,0.0106,0.0133,2.0945,55,25,0.0223
