DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,,
,,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],CO Promedio de 8 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
MAYO,3,1,0.0304,0.0391,NA,0.478,47,19,0.0053
MAYO,3,2,0.0252,0.0354,NA,0.502,40,18,0.0077
MAYO,3,3,0.0246,0.0322,NA,0.510,38,22,0.0081
MAYO,3,4,0.0099,0.0284,NA,0.505,42,21,0.0157
MAYO,3,5,0.0082,0.0256,NA,0.478,54,23,0.0173
MAYO,3,6,0.0093,0.0223,NA,0.461,54,23,0.0175
MAYO,3,7,0.0097,0.0188,NA,0.454,61,25,0.0188
MAYO,3,8,0.0162,0.0167,NA,0.482,66,33,0.0165
MAYO,3,9,0.0327,0.0170,NA,0.486,73,36,0.0101
MAYO,3,10,0.0488,0.0199,NA,0.480,67,38,0.0065
MAYO,3,11,NA,0.0192,NA,0.489,60,36,0.0055
MAYO,3,12,NA,0.0208,NA,0.502,56,42,0.0057
MAYO,3,13,NA,NA,NA,0.506,59,42,0.0048
MAYO,3,14,NA,NA,NA,0.503,52,39,0.0051
MAYO,3,15,NA,NA,NA,0.482,46,41,0.0045
MAYO,3,16,NA,NA,NA,0.453,51,36,0.0044
MAYO,3,17,NA,NA,NA,0.416,46,35,0.0039
MAYO,3,18,NA,NA,NA,0.405,47,25,0.0037
MAYO,3,19,NA,NA,NA,0.397,58,20,0.0055
MAYO,3,20,NA,NA,NA,0.396,66,14,0.0088
MAYO,3,21,NA,NA,NA,0.406,64,13,0.0084
MAYO,3,22,NA,NA,NA,0.413,60,18,0.0068
MAYO,3,23,NA,NA,NA,0.412,59,20,0.0065
MAYO,4,0,NA,NA,NA,0.400,52,21,0.0049
MAYO,4,1,NA,NA,NA,0.410,48,22,0.0054
MAYO,4,2,NA,NA,0.0058,0.408,49,23,0.0078
MAYO,4,3,NA,NA,0.0059,0.402,57,25,0.0173
MAYO,4,4,NA,NA,0.0059,0.383,56,35,0.0078
MAYO,4,5,NA,NA,0.0059,0.368,56,38,0.0108
MAYO,4,6,NA,NA,0.0060,0.373,59,41,0.0153
MAYO,4,7,NA,NA,0.0060,0.426,69,45,0.0173
MAYO,4,8,NA,NA,0.0061,0.492,73,53,0.0134
MAYO,4,9,NA,NA,0.0060,0.511,70,48,0.0083
MAYO,4,10,0.0495,NA,0.0061,0.524,57,43,0.005
MAYO,4,11,0.0571,NA,0.0061,0.534,51,39,0.0044
MAYO,4,12,0.0586,NA,0.0062,0.544,43,34,0.0043
MAYO,4,13,0.0548,NA,0.0062,0.550,37,32,0.0044
MAYO,4,14,0.0601,NA,0.0062,0.543,32,27,0.0044
MAYO,4,15,0.0645,0.0574,0.0062,0.491,33,25,0.0042
MAYO,4,16,0.0688,0.0590,0.0063,0.427,31,24,0.0039
MAYO,4,17,0.0687,0.0603,0.0063,0.401,33,23,0.0046
MAYO,4,18,0.0697,0.0628,0.0063,0.393,38,22,0.0044
MAYO,4,19,0.0691,0.0643,0.0063,0.396,43,21,0.0055
MAYO,4,20,0.0493,0.0631,0.0064,0.422,47,23,0.0139
MAYO,4,21,0.0110,0.0577,0.0064,0.560,62,19,0.035
MAYO,4,22,0.0152,0.0520,0.0065,0.588,81,29,0.0285
MAYO,4,23,0.0421,0.0492,0.0066,0.624,83,30,0.0073
MAYO,5,0,0.0244,0.0437,0.0068,0.624,82,31,0.0119
MAYO,5,1,0.0203,0.0376,0.0068,0.640,73,31,0.0119
MAYO,5,2,0.0155,0.0309,0.0075,0.647,60,33,0.0145
MAYO,5,3,0.0027,0.0226,0.0076,0.643,58,28,0.0223
MAYO,5,4,0.0036,0.0168,0.0079,0.616,60,32,0.0231
MAYO,5,5,0.0175,0.0177,0.0081,0.481,68,34,0.0174
MAYO,5,6,0.0169,0.0179,0.0081,0.463,73,34,0.0186
MAYO,5,7,0.0047,0.0132,0.0082,0.464,81,42,0.0244
MAYO,5,8,0.0117,0.0116,0.0083,0.543,106,47,0.0221
MAYO,5,9,0.0278,0.0125,0.0083,0.576,129,58,0.016
MAYO,5,10,0.0483,0.0166,0.0083,0.588,123,53,0.0091
MAYO,5,11,0.0591,0.0237,0.0083,0.618,109,46,0.0087
MAYO,5,12,0.0665,0.0315,0.0083,0.648,94,41,0.0085
MAYO,5,13,0.0711,0.0383,0.0083,0.666,77,39,0.008
MAYO,5,14,0.0766,0.0457,0.0083,0.675,64,39,0.0083
MAYO,5,15,0.0780,0.0549,0.0083,0.656,53,36,0.0084
MAYO,5,16,0.0813,0.0636,0.0083,0.600,51,43,0.0065
MAYO,5,17,0.0789,0.0700,0.0084,0.584,63,40,0.0061
MAYO,5,18,0.0536,0.0706,0.0088,0.613,95,30,0.007
MAYO,5,19,0.0483,0.0693,0.0090,0.610,121,28,0.0078
MAYO,5,20,0.0450,0.0666,0.0090,0.602,131,30,0.0077
MAYO,5,21,0.0448,0.0633,0.0090,0.588,92,26,0.0074
MAYO,5,22,0.0388,0.0586,0.0089,0.589,70,24,0.008
MAYO,5,23,0.0345,0.0531,0.0088,0.587,46,21,0.0084
MAYO,6,0,0.0286,0.0466,0.0086,0.568,33,23,0.0102
MAYO,6,1,0.0335,0.0409,0.0089,0.537,34,27,0.0091
MAYO,6,2,0.0243,0.0372,0.0083,0.495,33,32,0.0111
MAYO,6,3,0.0223,0.0340,0.0082,0.467,29,28,0.01
MAYO,6,4,0.0291,0.0320,0.0080,0.449,38,30,0.0141
MAYO,6,5,0.0117,0.0279,0.0079,0.442,40,36,0.0152
MAYO,6,6,0.0051,0.0237,0.0079,0.433,36,29,0.0178
MAYO,6,7,NA,0.0221,0.0081,0.482,40,31,0.0217
MAYO,6,8,0.0079,0.0191,0.0083,0.541,53,33,0.0221
MAYO,6,9,0.0250,0.0179,0.0084,0.612,53,36,0.0127
MAYO,6,10,0.0365,0.0197,0.0085,0.661,44,32,0.0093
MAYO,6,11,0.0463,0.0231,0.0085,0.691,41,30,0.0066
MAYO,6,12,0.0551,0.0268,0.0085,0.714,38,29,NA
MAYO,6,13,0.0611,0.0338,0.0085,0.735,71,28,NA
MAYO,6,14,0.0643,0.0423,0.0085,0.738,94,26,NA
MAYO,6,15,0.0635,0.0449,0.0085,0.695,69,20,NA
MAYO,6,16,0.0523,0.0505,0.0084,0.667,67,22,NA
MAYO,6,17,0.0591,0.0548,0.0083,0.622,55,18,NA
MAYO,6,18,0.0592,0.0576,0.0079,0.578,70,18,NA
MAYO,6,19,0.0449,0.0574,0.0082,0.565,67,22,NA
MAYO,6,20,0.0376,0.0552,0.0090,0.578,61,25,NA
