DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_DIF 2021,,,,,,,,
NOTA: LOS DATOS SON PREVALIDADOS,,,,,,,,
,,,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³],PM2.5 Promedio ponderado  de 12 hrs.  [µg/m³],NO2 Horario [ppm]
ENE,12,4,0.0022,0.0103,0.0186,33,15,0.0149
ENE,12,5,0.0023,0.0084,0.0185,35,12,0.0138
ENE,12,6,0.0018,0.0068,0.0184,36,12,0.0133
ENE,12,7,0.0043,0.0054,0.0183,37,13,0.0143
ENE,12,8,0.0105,0.0049,0.0179,70,21,0.0144
ENE,12,9,0.0073,0.0048,0.0182,99,44,0.0194
ENE,12,10,0.0073,0.0048,0.0181,108,51,0.0227
ENE,12,11,0.0182,0.0067,0.0184,87,48,0.0174
ENE,12,12,0.0222,0.0092,0.0186,60,44,0.0101
ENE,12,13,0.0291,0.0126,0.0187,37,32,0.0064
ENE,12,14,0.0338,0.0166,0.0186,27,22,0.0068
ENE,12,15,0.035,0.0204,0.0186,20,24,0.0049
ENE,12,16,0.0369,0.0237,0.0185,14,20,0.004
ENE,12,17,0.0322,0.0268,0.0184,23,17,0.0055
ENE,12,18,0.027,0.0293,0.0184,30,15,0.0072
ENE,12,19,0.0175,0.0292,0.0183,40,28,0.0149
ENE,12,20,0.0054,0.0271,0.0183,74,32,0.0235
ENE,12,21,0.0089,0.0246,0.0182,73,28,0.0191
ENE,12,22,0.0088,0.0215,0.0183,60,23,0.0142
ENE,12,23,0.0061,0.0179,0.0183,50,20,0.0155
ENE,13,0,0.0043,0.0138,0.0182,40,19,0.0162
ENE,13,1,0.0035,0.0102,0.0182,37,17,0.0173
ENE,13,2,0.003,0.0072,0.0181,40,18,0.0164
ENE,13,3,0.0029,0.0054,0.0180,45,20,0.0151
ENE,13,4,0.0025,0.0050,0.0180,46,20,0.0153
ENE,13,5,0.0028,0.0042,0.0181,48,21,0.016
ENE,13,6,0.0032,0.0035,0.0181,53,17,0.0152
ENE,13,7,0.003,0.0032,0.0183,54,17,0.0155
ENE,13,8,0.0034,0.0030,0.0208,71,21,0.0175
ENE,13,9,0.0045,0.0032,0.0209,95,33,0.0183
ENE,13,10,0.0092,0.0039,0.0212,95,42,0.017
ENE,13,11,0.0181,0.0058,0.0211,76,43,0.0121
ENE,13,12,0.0272,0.0089,0.0211,55,36,0.0096
ENE,13,13,0.032,0.0126,0.0215,39,31,0.0075
