DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
OCT,5,9,18.3,3.63,0.33,1.65,53.75,18.13,4.19,80.22,18.3,67.59,624.39,18.13
OCT,5,10,23.6,2.25,0.3,0.4,47.23,12.04,4.56,89.85,19.73,61.59,624.68,12.04
OCT,5,11,29.73,2.24,0.24,1.06,40.9,16.85,4.14,84.11,21.37,56.63,624.27,16.85
OCT,5,12,36.19,2.41,0.32,1.9,46.86,19.98,3.75,87.74,23.15,48.19,623.65,19.98
OCT,5,13,43.39,2.26,0.27,3.11,61.41,11.85,3.33,99.43,24.46,37.41,623,11.85
OCT,5,14,43.78,3.16,0.25,3.55,54.58,11.23,3.42,103.91,25.91,31.53,622.08,11.23
OCT,5,15,49.47,5.5,0.18,2.65,51.07,13.03,3.3,81.03,26.92,25.2,621.34,13.03
OCT,5,16,52.42,5.77,0.12,1.28,50.89,23.79,3.21,79.02,27.41,21.29,620.76,23.79
OCT,5,17,49.7,2.56,0.22,4.05,45.46,30.33,3.19,106.94,27.55,22.54,620.44,30.33
OCT,5,18,40.52,3.61,0.25,8.11,57.27,17.2,3.23,95,27.03,23.12,620.42,17.2
OCT,5,19,18.51,2.65,0.86,30.41,85.83,6.87,1.88,132.98,25.19,27.39,620.78,6.87
OCT,5,20,10.89,7.8,0.87,29.41,143.44,20.29,2.68,63.87,23.96,33.86,621.21,20.29
OCT,5,21,13.87,20.72,0.25,9.25,62.34,20.95,3.14,69.68,22.16,46.39,621.97,20.95
OCT,5,22,3.93,6.84,0.25,17.97,52.8,10.46,2.41,134.31,20.24,53.98,622.71,10.46
OCT,5,23,13.7,4.96,0.09,5.53,45.28,7.79,4.39,81.67,19.37,57.02,622.93,7.79
OCT,6,0,12.67,4.55,0.09,4.3,30.66,5.56,3.38,77.82,18.13,64.1,623.03,5.56
OCT,6,1,10.7,20.59,0.03,5.18,36.9,7.68,2.62,80.19,17.61,68.92,622.98,7.68
OCT,6,2,10.89,4.64,0.03,3.79,23.69,11.44,1.97,89.18,16.88,71.58,622.89,11.44
OCT,6,3,11.26,2.46,0.01,4.54,15.13,9.1,2.17,94.48,16.56,72.57,622.58,9.1
OCT,6,4,7.84,2.2,0.01,8.01,17.92,5.94,2.13,87.21,16.08,75.06,622.29,5.94
OCT,6,5,3.13,2.2,0.01,11.84,19.09,8.57,2.26,85.5,15.24,79.18,622.31,8.57
OCT,6,6,0.8,2.51,0.12,13.89,23.37,7.49,2.17,98.98,14.81,81.9,622.57,7.49
OCT,6,7,NA,4.21,0.34,15.09,49.64,6.03,2.34,98.42,14.58,83.38,622.96,6.03
