DATOS HORARIOS 2018_DIF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,DIA,HORA,O3,SO2,CO,NO2,PM10,PM2.5,WS,WD,TEMP,HR,PBAR,PM2.5
MZO,5,7,3.92,2.61,0.1,11.9,24.64,23.86,1.64,244.12,14.05,64.53,622.48,23.86
MZO,5,8,1.69,2.63,0.35,20.03,26.08,23.37,1.95,248.48,15.05,65.35,622.91,23.37
MZO,5,9,4.34,2.81,0.35,16.12,22.39,NA,2.15,255.04,17.25,58.54,623.25,NA
MZO,5,10,8.2,2.65,0.16,7.27,18.54,NA,2.67,276.4,18.72,51.64,623.61,NA
MZO,5,11,12.84,2.63,0.14,6.06,25.64,23.79,2.49,270.05,19.94,44.45,623.52,23.79
MZO,5,12,20.56,2.65,0.07,0.95,26.11,21.64,2.79,282.17,23.19,37.82,623.09,21.64
MZO,5,13,22.92,2.71,0.06,0.4,11.99,NA,2.96,264.94,24.75,32.9,622.27,NA
MZO,5,14,19.6,2.2,0.06,0.63,4.43,NA,3.15,261,25.4,26.99,621.48,NA
MZO,5,15,15.36,2.22,0.07,1.79,21.91,14.88,3.01,264.67,28.09,22.01,620.7,14.88
MZO,5,16,15.07,2.3,0.07,2.74,24.08,15.82,2.33,202.41,28.2,17.23,620.17,15.82
MZO,5,17,17.3,2.33,0.04,1.66,29.11,16.15,2.71,272.45,28.56,16.8,619.85,16.15
MZO,5,18,14.99,2.22,0.04,1.84,30.81,13.05,2.81,269.93,28.3,17.35,619.75,13.05
MZO,5,19,12.27,2.27,0.12,6.99,32.41,11.65,2.24,268.8,26.99,19.08,619.93,11.65
MZO,5,20,6.03,2.58,0.4,24.94,40.74,13.9,1.65,248.79,25.06,22.51,620.04,13.9
MZO,5,21,5.36,2.76,0.57,29.7,37.97,26.8,1.98,228.06,22.5,26.04,620.38,26.8
MZO,5,22,8.85,2.42,0.35,16.54,27.74,27.43,2.67,218.04,21.91,26.93,620.92,27.43
MZO,5,23,6.68,2.53,0.34,18.86,31.59,21.99,1.21,233.94,20.22,29.21,621.4,21.99
MZO,6,0,3.51,2.98,0.29,25.35,36.05,25.92,1.39,258.61,20,32.4,621.71,25.92
MZO,6,1,4.77,2.71,0.18,19.35,29.15,30.58,1.59,270.17,18.97,34.92,621.93,30.58
MZO,6,2,NA,2.91,0.22,28.31,30.82,22.26,1.05,262.59,16.9,39.75,622.02,22.26
MZO,6,3,1.15,2.97,0.24,29.55,31.39,NA,0.88,223.1,16.72,39.34,622.02,NA
MZO,6,4,3.9,2.59,0.17,20.9,26.3,NA,1.17,237.28,15.72,44.33,621.84,NA
MZO,6,5,4.83,2.38,0.08,14.15,18.84,18.72,1.04,256.37,14.78,48.93,621.79,18.72
MZO,6,6,4.72,2.51,0.08,14.83,20.64,21.44,1.51,242.29,15.16,52.47,621.9,21.44
MZO,6,7,4.33,2.45,0.14,14.57,21.04,19.08,1.03,280.75,14.35,55.21,622.11,19.08
MZO,6,8,NA,3.13,1.03,23.43,37.24,19.55,0.94,301.15,14.38,51.88,622.52,19.55
MZO,6,9,0.8,3.6,1.4,29.47,49.75,47.33,1.24,277.84,17.41,43.35,622.85,47.33
MZO,6,10,4.01,3.02,0.73,30.52,40.79,NA,1.54,274.87,18.94,35.55,623.12,NA
MZO,6,11,10.71,2.64,0.27,18.1,29.48,23.87,2.13,267.25,21.66,32.92,623.08,23.87
MZO,6,12,16.46,2.43,0.13,4.67,24.56,NA,2.54,274.28,23.02,27.22,622.29,NA
MZO,6,13,20.15,2.49,0.07,0.88,21.98,NA,2.68,273.2,26.13,23.51,622.67,NA
MZO,6,14,15.83,2.31,0.09,1.35,8.69,NA,3.02,279.98,27.43,21.76,621.91,NA
MZO,6,15,17.15,2.29,0.09,0.72,16.72,NA,2.92,276.47,28.18,20.7,621.03,NA
